district,block_requested,state_2011census,district_2011census,subdistrict_2011census_name,population_2011,households_2011,sc_population_2011,st_population_2011,literate_population_2011,match_status,note
Bengaluru Rural,Anekal,,,,,,,,,NO MATCH FOUND,"Not a distinct Census 2011 tehsil/taluk in this district (likely a development block/panchayat samiti, or a tehsil created after 2011)"
Mysuru,Mysuru,KARNATAKA,Mysore,Mysore,1281768.0,299853.0,166333.0,93871.0,952290.0,MATCHED,
Mysuru,Hunsur,KARNATAKA,Mysore,Hunsur,282963.0,65584.0,53399.0,46689.0,168731.0,MATCHED,
Mysuru,Nanjangud,KARNATAKA,Mysore,Nanjangud,384922.0,90864.0,87095.0,53271.0,215361.0,MATCHED,
Mysuru,Periyapatna,KARNATAKA,Mysore,Piriyapatna,243076.0,54075.0,41825.0,20610.0,154168.0,MATCHED,
Mysuru,T. Narasipura,KARNATAKA,Mysore,Tirumakudal - Narsipur,292035.0,68533.0,76825.0,40279.0,163997.0,MATCHED,
Belagavi,Belagavi,KARNATAKA,Belgaum,Belgaum,957373.0,209944.0,72568.0,64035.0,710306.0,MATCHED,
Belagavi,Athani,KARNATAKA,Belgaum,Athni,525832.0,107689.0,84167.0,15217.0,320240.0,MATCHED,
Belagavi,Bailhongal,KARNATAKA,Belgaum,Parasgad,352929.0,70063.0,33687.0,39064.0,208215.0,MATCHED,
Belagavi,Chikodi,KARNATAKA,Belgaum,Chikodi,628800.0,132923.0,102135.0,7325.0,421750.0,MATCHED,
Belagavi,Gokak,KARNATAKA,Belgaum,Gokak,612163.0,116569.0,65948.0,60038.0,350329.0,MATCHED,
Dharwad,Dharwad,KARNATAKA,Dharwad,Dharwad,249993.0,50058.0,19250.0,16149.0,156515.0,MATCHED,
Dharwad,Hubballi,KARNATAKA,Dharwad,Hubli,142807.0,29199.0,10933.0,7193.0,92170.0,MATCHED,
